,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version,influence_sign
6953,0.016168335,0.07638355084132548,0.0022019819716790124,IF,0.08,2,10000,2540,80,160,10000,False,10k,abs
6954,0.030845737,0.07235695864976374,0.0019759442175225415,RAR,0.03,6,10000,2540,80,160,10000,True,train,abs
6955,0.030845737,0.07235695864976374,0.0019759442175225415,RAR,0.03,6,10000,2540,80,160,10000,True,test,abs
6956,0.030845737,0.07235695864976374,0.0019759442175225415,RAR,0.03,6,10000,2540,80,160,10000,True,10k,abs
6957,0.01281615,0.04986058366159216,0.0009382720682015178,IF,0.06,6,50000,2540,80,160,10000,False,train,pos
6958,0.014662713999999999,0.046486420362643714,0.0008155794642882307,IF,0.06,6,50000,2540,80,160,10000,False,test,pos
6959,0.012829752,0.0492683374952166,0.000916114774740397,IF,0.06,6,50000,2540,80,160,10000,False,10k,pos
6960,0.029945526,0.5344591031040979,0.1078060239541235,RAR,0.08,4,10000,2540,80,160,10000,False,train,abs
6961,0.034405097,0.5426284520055747,0.11112689892076803,RAR,0.08,4,10000,2540,80,160,10000,False,test,abs
6962,0.029945526,0.5344591031040979,0.1078060239541235,RAR,0.08,4,10000,2540,80,160,10000,False,10k,abs
6963,0.03161432,0.061853192868765526,0.0014439039936237476,RAR,0.05,6,10000,2540,80,160,10000,True,train,abs
6964,0.03161432,0.061853192868765526,0.0014439039936237476,RAR,0.05,6,10000,2540,80,160,10000,True,test,abs
6965,0.03143471,0.05527211641559005,0.0011529919115339108,RAR,0.05,6,10000,2540,80,160,10000,True,10k,abs
6966,0.03145893,0.05724297936888105,0.0012366834000412073,RAR,0.02,6,10000,2540,80,160,10000,True,train,abs
6967,0.0315102,0.05615917563013542,0.0011902974961000665,RAR,0.02,6,10000,2540,80,160,10000,True,test,abs
6968,0.0315102,0.05615917563013542,0.0011902974961000665,RAR,0.02,6,10000,2540,80,160,10000,True,10k,abs
6969,0.019606818,0.04772992060799953,0.0008597961494147455,IF,0.09,3,10000,2540,80,160,10000,False,train,abs
6970,0.019606818,0.04772992060799953,0.0008597961494147455,IF,0.09,3,10000,2540,80,160,10000,False,test,abs
6971,0.019606818,0.04772992060799953,0.0008597961494147455,IF,0.09,3,10000,2540,80,160,10000,False,10k,abs
6972,0.010522058,0.12625697357836074,0.006016235413240797,IF,0.4,2,50000,2540,80,160,10000,False,train,pos
6973,0.010522058,0.12625697357836074,0.006016235413240797,IF,0.4,2,50000,2540,80,160,10000,False,test,pos
6974,0.010522058,0.12625697357836074,0.006016235413240797,IF,0.4,2,50000,2540,80,160,10000,False,10k,pos
6975,0.022101667000000002,0.13710160283587214,0.007094129891824326,RAR,0.1,9,10000,2540,80,160,10000,False,train,abs
6976,0.022101667000000002,0.13710160283587214,0.007094129891824326,RAR,0.1,9,10000,2540,80,160,10000,False,test,abs
6977,0.021925636000000002,0.13929288164693202,0.007322711394525656,RAR,0.1,9,10000,2540,80,160,10000,False,10k,abs
6978,0.015466617,0.019651054264166617,0.00014574235459689482,IF,0.05,5,50000,2540,80,160,10000,True,train,pos
6979,0.015466617,0.019651054264166617,0.00014574235459689482,IF,0.05,5,50000,2540,80,160,10000,True,test,pos
6980,0.015466617,0.019651054264166617,0.00014574235459689482,IF,0.05,5,50000,2540,80,160,10000,True,10k,pos
6981,0.021788847000000004,0.07101075378198075,0.0019031031026707265,IF,0.02,6,50000,2540,80,160,10000,True,train,abs
6982,0.021788847000000004,0.07101075378198075,0.0019031031026707265,IF,0.02,6,50000,2540,80,160,10000,True,test,abs
6983,0.021788847000000004,0.07101075378198075,0.0019031031026707265,IF,0.02,6,50000,2540,80,160,10000,True,10k,abs
6984,0.035246667,0.06104211874974234,0.00140628476116194,IF,0.05,7,10000,2540,80,160,10000,True,train,pos
6985,0.035023186,0.06315265635343738,0.0015052107708661189,IF,0.05,7,10000,2540,80,160,10000,True,test,pos
6986,0.03407022,0.060378407650523123,0.0013758699402500944,IF,0.05,7,10000,2540,80,160,10000,True,10k,pos
6987,0.018285893,0.02000381216421826,0.00015102178795048783,IF,0.01,4,50000,2540,80,160,10000,True,train,neg
