,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version
2490,0.0070618074,0.029651096990974162,0.00033181468514484986,IF,0.04,3,50000,2540,80,160,10000,False,train
2491,0.0070618074,0.029651096990974162,0.00033181468514484986,IF,0.04,3,50000,2540,80,160,10000,False,test
2492,0.0070618074,0.029651096990974162,0.00033181468514484986,IF,0.04,3,50000,2540,80,160,10000,False,10k
2493,0.013526975,0.036606537706389115,0.0005057447477348838,IF,0.01,0,10000,2540,80,160,10000,False,train
2494,0.013526975,0.036606537706389115,0.0005057447477348838,IF,0.01,0,10000,2540,80,160,10000,False,test
2495,0.013526975,0.036606537706389115,0.0005057447477348838,IF,0.01,0,10000,2540,80,160,10000,False,10k
2496,0.0070749796,0.029755523163464175,0.0003341559916760821,IF,0.05,3,50000,2540,80,160,10000,False,train
2497,0.007248551999999999,0.030463779467492506,0.0003502528174143314,IF,0.05,3,50000,2540,80,160,10000,False,test
2498,0.0070749796,0.029755523163464175,0.0003341559916760821,IF,0.05,3,50000,2540,80,160,10000,False,10k
2499,0.013529382,0.036721986473518056,0.0005089397878532665,IF,0.04,0,10000,2540,80,160,10000,False,train
2500,0.013529382,0.036721986473518056,0.0005089397878532665,IF,0.04,0,10000,2540,80,160,10000,False,test
2501,0.013529382,0.036721986473518056,0.0005089397878532665,IF,0.04,0,10000,2540,80,160,10000,False,10k
2502,0.020699296000000002,0.017010622149052818,0.00010920800349675588,IF,0.03,2,10000,2540,80,160,10000,True,train
2503,0.020699296000000002,0.017010622149052818,0.00010920800349675588,IF,0.03,2,10000,2540,80,160,10000,True,test
2504,0.020281905,0.017335795836643922,0.00011342313296711436,IF,0.03,2,10000,2540,80,160,10000,True,10k
2505,0.01585109,0.022795078908038263,0.00019610843398317396,IF,0.01,4,50000,2540,80,160,10000,True,train
2506,0.01606744,0.02360766929151984,0.0002103392384893473,IF,0.01,4,50000,2540,80,160,10000,True,test
2507,0.01585109,0.022795078908038263,0.00019610843398317396,IF,0.01,4,50000,2540,80,160,10000,True,10k
2508,0.014441748999999999,0.03159203166580254,0.0003766770702937699,IF,0.04,3,10000,2540,80,160,10000,False,train
2509,0.014441748999999999,0.03159203166580254,0.0003766770702937699,IF,0.04,3,10000,2540,80,160,10000,False,test
2510,0.014441748999999999,0.03159203166580254,0.0003766770702937699,IF,0.04,3,10000,2540,80,160,10000,False,10k
2511,0.021593397,0.02342629963679544,0.00020711972442969792,IF,0.07,0,50000,2540,80,160,10000,True,train
2512,0.021593397,0.02342629963679544,0.00020711972442969792,IF,0.07,0,50000,2540,80,160,10000,True,test
2513,0.021593397,0.02342629963679544,0.00020711972442969792,IF,0.07,0,50000,2540,80,160,10000,True,10k
2514,0.010958186000000002,0.02054548328843815,0.00015931137829498592,IF,0.08,2,10000,2540,80,160,10000,False,train
2515,0.010958186000000002,0.02054548328843815,0.00015931137829498592,IF,0.08,2,10000,2540,80,160,10000,False,test
2516,0.010958186000000002,0.02054548328843815,0.00015931137829498592,IF,0.08,2,10000,2540,80,160,10000,False,10k
2517,0.008735455999999999,0.030917426302875393,0.00036076196213941976,IF,0.03,1,50000,2540,80,160,10000,False,train
2518,0.008735455999999999,0.030917426302875393,0.00036076196213941976,IF,0.03,1,50000,2540,80,160,10000,False,test
2519,0.008735455999999999,0.030917426302875393,0.00036076196213941976,IF,0.03,1,50000,2540,80,160,10000,False,10k
2520,0.011293571,0.03236640825723072,0.00039536943086893587,IF,0.03,0,50000,2540,80,160,10000,False,train
2521,0.011293571,0.03236640825723072,0.00039536943086893587,IF,0.03,0,50000,2540,80,160,10000,False,test
2522,0.011293571,0.03236640825723072,0.00039536943086893587,IF,0.03,0,50000,2540,80,160,10000,False,10k
2523,0.013862336999999999,0.2168065475977687,0.017740214208504832,IF,0.01,4,50000,2540,80,160,10000,False,train
2524,0.013862336999999999,0.2168065475977687,0.017740214208504832,IF,0.01,4,50000,2540,80,160,10000,False,test
2525,0.013862336999999999,0.2168065475977687,0.017740214208504832,IF,0.01,4,50000,2540,80,160,10000,False,10k
2526,0.016179394,0.2416718380833417,0.02204276965088052,IF,0.03,4,10000,2540,80,160,10000,False,train
2527,0.021733329,0.04106657734476856,0.0006364892731774392,IF,0.03,4,10000,2540,80,160,10000,False,test
2528,0.016179394,0.2416718380833417,0.02204276965088052,IF,0.03,4,10000,2540,80,160,10000,False,10k
