,model,mean_residual,l2_relative_error,mse,ratio,epoch,model_version
0,if,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,full_epochs
1,if,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,best_test_loss
2,if,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,best_train_loss
3,random,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,full_epochs
4,random,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,best_test_loss
5,random,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,best_train_loss
6,if,0.013092209,0.07195374777049812,0.0019539835839248914,0.01,10000.0,full_epochs
7,if,0.013092209,0.07195374777049812,0.0019539835839248914,0.01,10000.0,best_test_loss
8,if,0.013092209,0.07195374777049812,0.0019539835839248914,0.01,10000.0,best_train_loss
9,random,0.014617216,0.08537201906974641,0.0027507123497058977,0.01,10000.0,full_epochs
10,random,0.014617216,0.08537201906974641,0.0027507123497058977,0.01,10000.0,best_test_loss
11,random,0.014617216,0.08537201906974641,0.0027507123497058977,0.01,10000.0,best_train_loss
12,if,0.012243563,0.0672186036304391,0.0017052695791798605,0.02,10000.0,full_epochs
13,if,0.012243563,0.0672186036304391,0.0017052695791798605,0.02,10000.0,best_test_loss
14,if,0.012243563,0.0672186036304391,0.0017052695791798605,0.02,10000.0,best_train_loss
15,random,0.014660987,0.08536544249798218,0.002750288567755261,0.02,10000.0,full_epochs
16,random,0.014660987,0.08536544249798218,0.002750288567755261,0.02,10000.0,best_test_loss
17,random,0.014660987,0.08536544249798218,0.002750288567755261,0.02,10000.0,best_train_loss
18,if,0.013289876,0.06963043829133639,0.001829836682445127,0.03,10000.0,full_epochs
19,if,0.013289876,0.06963043829133639,0.001829836682445127,0.03,10000.0,best_test_loss
20,if,0.013289876,0.06963043829133639,0.001829836682445127,0.03,10000.0,best_train_loss
21,random,0.014674807,0.08549185216830475,0.0027584398868783955,0.03,10000.0,full_epochs
22,random,0.014674807,0.08549185216830475,0.0027584398868783955,0.03,10000.0,best_test_loss
23,random,0.014674807,0.08549185216830475,0.0027584398868783955,0.03,10000.0,best_train_loss
24,if,0.013972448,0.0728757380735172,0.0020043797402205074,0.04,10000.0,full_epochs
25,if,0.015881758,0.062131917441408814,0.001456946434085097,0.04,4000.0,best_test_loss
26,if,0.013868946,0.071527963223569,0.0019309267052547536,0.04,7000.0,best_train_loss
27,random,0.014684431,0.08539168537489468,0.0027519798043087853,0.04,10000.0,full_epochs
28,random,0.014684431,0.08539168537489468,0.0027519798043087853,0.04,10000.0,best_test_loss
29,random,0.014684431,0.08539168537489468,0.0027519798043087853,0.04,10000.0,best_train_loss
30,if,0.013020746,0.07200119976565848,0.0019565616565349444,0.05,10000.0,full_epochs
31,if,0.015744423,0.041609166300386885,0.0006534195138260509,0.05,5000.0,best_test_loss
32,if,0.013020746,0.07200119976565848,0.0019565616565349444,0.05,10000.0,best_train_loss
33,random,0.015495207,0.08498678481968286,0.0027259436307097503,0.05,10000.0,full_epochs
34,random,0.015495207,0.08498678481968286,0.0027259436307097503,0.05,10000.0,best_test_loss
35,random,0.014884915,0.0857471948437166,0.002774942027308099,0.05,9000.0,best_train_loss
36,if,0.013139571,0.07378475949943449,0.0020546951884295814,0.060000000000000005,10000.0,full_epochs
37,if,0.01319281,0.07389013566893171,0.0020605682310251374,0.060000000000000005,9000.0,best_test_loss
38,if,0.01319281,0.07389013566893171,0.0020605682310251374,0.060000000000000005,9000.0,best_train_loss
39,random,0.01460656,0.08525708021036958,0.0027433106058295754,0.060000000000000005,10000.0,full_epochs
40,random,0.01460656,0.08525708021036958,0.0027433106058295754,0.060000000000000005,10000.0,best_test_loss
41,random,0.01460656,0.08525708021036958,0.0027433106058295754,0.060000000000000005,10000.0,best_train_loss
42,if,0.013722142,0.07005011369456554,0.0018519606763841361,0.06999999999999999,10000.0,full_epochs
43,if,0.013682828,0.07308716588656314,0.0020160268638293034,0.06999999999999999,9000.0,best_test_loss
44,if,0.014068083,0.06924872381406695,0.0018098293222346224,0.06999999999999999,7000.0,best_train_loss
45,random,0.013762882,0.07869198498665403,0.0023370880387447016,0.06999999999999999,10000.0,full_epochs
46,random,0.013762882,0.07869198498665403,0.0023370880387447016,0.06999999999999999,10000.0,best_test_loss
47,random,0.013762882,0.07869198498665403,0.0023370880387447016,0.06999999999999999,10000.0,best_train_loss
48,if,0.013441401,0.07288658799388488,0.0020049766186890795,0.08,10000.0,full_epochs
49,if,0.013441401,0.07288658799388488,0.0020049766186890795,0.08,10000.0,best_test_loss
50,if,0.013822764,0.07070454555162477,0.0018867256003401605,0.08,8000.0,best_train_loss
51,random,0.013739338,0.07886961267142652,0.002347650742579542,0.08,10000.0,full_epochs
52,random,0.013739338,0.07886961267142652,0.002347650742579542,0.08,10000.0,best_test_loss
53,random,0.013739338,0.07886961267142652,0.002347650742579542,0.08,10000.0,best_train_loss
54,if,0.013096447,0.07111739388831559,0.0019088233490817457,0.09,10000.0,full_epochs
55,if,0.013096447,0.07111739388831559,0.0019088233490817457,0.09,10000.0,best_test_loss
56,if,0.013096447,0.07111739388831559,0.0019088233490817457,0.09,10000.0,best_train_loss
57,random,0.013791941,0.07839404714877306,0.0023194245167460444,0.09,10000.0,full_epochs
58,random,0.014061237,0.07909657062401951,0.002361181546541158,0.09,9000.0,best_test_loss
59,random,0.013791941,0.07839404714877306,0.0023194245167460444,0.09,10000.0,best_train_loss
60,if,0.013165324,0.06921503432885313,0.0018080687876471252,0.09999999999999999,10000.0,full_epochs
61,if,0.013165324,0.06921503432885313,0.0018080687876471252,0.09999999999999999,10000.0,best_test_loss
62,if,0.0131772915,0.0685678914650561,0.0017744168836730625,0.09999999999999999,9000.0,best_train_loss
63,random,0.017688442,0.07590503683341322,0.00217447922386245,0.09999999999999999,10000.0,full_epochs
64,random,0.013995104,0.07951547301936221,0.002386257824573378,0.09999999999999999,9000.0,best_test_loss
65,random,0.013995104,0.07951547301936221,0.002386257824573378,0.09999999999999999,9000.0,best_train_loss
66,if,0.013165324,0.06921503432885313,0.0018080687876471252,0.1,10000.0,full_epochs
67,if,0.013165324,0.06921503432885313,0.0018080687876471252,0.1,10000.0,best_test_loss
68,if,0.0131772915,0.0685678914650561,0.0017744168836730625,0.1,9000.0,best_train_loss
69,random,0.017688442,0.07590503683341322,0.00217447922386245,0.1,10000.0,full_epochs
70,random,0.013995104,0.07951547301936221,0.002386257824573378,0.1,9000.0,best_test_loss
71,random,0.013995104,0.07951547301936221,0.002386257824573378,0.1,9000.0,best_train_loss
72,if,0.013809705,0.05526534964879156,0.0011527096154937049,0.2,10000.0,full_epochs
73,if,0.01433092,0.0366382910366094,0.0005066225168980613,0.2,9000.0,best_test_loss
74,if,0.013809705,0.05526534964879156,0.0011527096154937049,0.2,10000.0,best_train_loss
75,random,0.0139840655,0.07626969539609928,0.0021954224235647317,0.2,10000.0,full_epochs
76,random,0.013988197,0.07828465662207294,0.002312956014174317,0.2,9000.0,best_test_loss
77,random,0.013988197,0.07828465662207294,0.002312956014174317,0.2,9000.0,best_train_loss
78,if,0.012900387,0.07855255692107893,0.002328813575074317,0.30000000000000004,10000.0,full_epochs
79,if,0.012900387,0.07855255692107893,0.002328813575074317,0.30000000000000004,10000.0,best_test_loss
80,if,0.012900387,0.07855255692107893,0.002328813575074317,0.30000000000000004,10000.0,best_train_loss
81,random,0.013583268,0.07914911161647128,0.002364319483489124,0.30000000000000004,10000.0,full_epochs
82,random,0.013583268,0.07914911161647128,0.002364319483489124,0.30000000000000004,10000.0,best_test_loss
83,random,0.013583268,0.07914911161647128,0.002364319483489124,0.30000000000000004,10000.0,best_train_loss
84,if,0.0135785155,0.08356199297687146,0.00263530964069035,0.4,10000.0,full_epochs
85,if,0.014977324,0.03250015938086002,0.0003986438361283759,0.4,6000.0,best_test_loss
86,if,0.013722973,0.07834946060734015,0.002316786925947995,0.4,9000.0,best_train_loss
87,random,0.01361207,0.07819556677017168,0.002307694608773338,0.4,10000.0,full_epochs
88,random,0.01361207,0.07819556677017168,0.002307694608773338,0.4,10000.0,best_test_loss
89,random,0.01361207,0.07819556677017168,0.002307694608773338,0.4,10000.0,best_train_loss
90,if,0.014044957,0.05549401853871163,0.001162268376979018,0.5,10000.0,full_epochs
91,if,0.014044957,0.05549401853871163,0.001162268376979018,0.5,10000.0,best_test_loss
92,if,0.014044957,0.05549401853871163,0.001162268376979018,0.5,10000.0,best_train_loss
93,random,0.013938549,0.06464010635766484,0.0015769509915363586,0.5,10000.0,full_epochs
94,random,0.013095111,0.07333768434931806,0.002029871087219317,0.5,9000.0,best_test_loss
95,random,0.013095111,0.07333768434931806,0.002029871087219317,0.5,9000.0,best_train_loss
96,if,0.013518315,0.07583543796330351,0.0021704934037004775,0.6,10000.0,full_epochs
97,if,0.014759578,0.02970784511200845,0.00033308599586904673,0.6,6000.0,best_test_loss
98,if,0.013518315,0.07583543796330351,0.0021704934037004775,0.6,10000.0,best_train_loss
99,random,0.012475222,0.07373814005949064,0.0020520995717065705,0.6,10000.0,full_epochs
100,random,0.012475222,0.07373814005949064,0.0020520995717065705,0.6,10000.0,best_test_loss
101,random,0.012475222,0.07373814005949064,0.0020520995717065705,0.6,10000.0,best_train_loss
102,if,0.014005657,0.05487201766995074,0.0011363599820630366,0.7000000000000001,10000.0,full_epochs
103,if,0.014005657,0.05487201766995074,0.0011363599820630366,0.7000000000000001,10000.0,best_test_loss
104,if,0.014005657,0.05487201766995074,0.0011363599820630366,0.7000000000000001,10000.0,best_train_loss
105,random,0.012333933,0.0721241931734449,0.001963251815095237,0.7000000000000001,10000.0,full_epochs
106,random,0.012333933,0.0721241931734449,0.001963251815095237,0.7000000000000001,10000.0,best_test_loss
107,random,0.012333933,0.0721241931734449,0.001963251815095237,0.7000000000000001,10000.0,best_train_loss
108,if,0.013987597,0.05475122647610122,0.001131362491349433,0.8,10000.0,full_epochs
109,if,0.013987597,0.05475122647610122,0.001131362491349433,0.8,10000.0,best_test_loss
110,if,0.013987597,0.05475122647610122,0.001131362491349433,0.8,10000.0,best_train_loss
