,model,mean_residual,l2_relative_error,mse,ratio,epoch,model_version
111,random,0.012412927,0.06886454180097215,0.0017898036781222911,0.8,10000.0,full_epochs
112,random,0.012412927,0.06886454180097215,0.0017898036781222911,0.8,10000.0,best_test_loss
113,random,0.012412927,0.06886454180097215,0.0017898036781222911,0.8,10000.0,best_train_loss
114,if,0.01385165,0.05315611833662849,0.0010664011162684584,0.9,10000.0,full_epochs
115,if,0.01385165,0.05315611833662849,0.0010664011162684584,0.9,10000.0,best_test_loss
116,if,0.01385165,0.05315611833662849,0.0010664011162684584,0.9,10000.0,best_train_loss
117,random,0.01228723,0.06656417159568373,0.001672226628451766,0.9,10000.0,full_epochs
118,random,0.01228723,0.06656417159568373,0.001672226628451766,0.9,10000.0,best_test_loss
119,random,0.01228723,0.06656417159568373,0.001672226628451766,0.9,10000.0,best_train_loss
120,if,0.01365333,0.04434034276084193,0.0007420141099952408,1.0,10000.0,full_epochs
121,if,0.01365333,0.04434034276084193,0.0007420141099952408,1.0,10000.0,best_test_loss
122,if,0.01365333,0.04434034276084193,0.0007420141099952408,1.0,10000.0,best_train_loss
