,model,mean_residual,l2_relative_error,mse,ratio,epoch,model_version
0,if,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,full_epochs
1,if,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,best_test_loss
2,if,0.014631042,0.08547981757838241,0.0027576633367045206,0,10000.0,best_train_loss
3,if,0.0138328485,0.1660826625707008,0.010410286196357327,0.01,10000.0,full_epochs
4,if,0.015744422,0.16793487425582246,0.010643779247672987,0.01,6000.0,best_test_loss
5,if,0.015174457,0.16674309832716264,0.01049324482869675,0.01,7000.0,best_train_loss
6,if,0.015378579,0.10374924352008737,0.004062411840851316,0.02,10000.0,full_epochs
7,if,0.015543387,0.10619157941477525,0.004255927609517614,0.02,9000.0,best_test_loss
8,if,0.015378579,0.10374924352008737,0.004062411840851316,0.02,10000.0,best_train_loss
9,if,0.017592963,0.24537346986932093,0.022723188994230217,0.03,10000.0,full_epochs
10,if,0.016716849,0.15262686211595292,0.00879176402665293,0.03,7000.0,best_test_loss
11,if,0.016343908,0.18995756233781594,0.013618436415072559,0.03,8000.0,best_train_loss
12,if,0.0146946935,0.19729950959195214,0.014691498103197262,0.04,10000.0,full_epochs
13,if,0.0146946935,0.19729950959195214,0.014691498103197262,0.04,10000.0,best_test_loss
14,if,0.015470828,0.1975206187337999,0.014724445420330462,0.04,8000.0,best_train_loss
15,if,0.01705899,0.19330660583476314,0.014102868699427382,0.05,10000.0,full_epochs
16,if,0.01705899,0.19330660583476314,0.014102868699427382,0.05,10000.0,best_test_loss
17,if,0.017088957,0.14958946617833727,0.008445319739272752,0.05,9000.0,best_train_loss
18,if,0.013712145,0.078279308772765,0.002312640015656586,0.060000000000000005,10000.0,full_epochs
19,if,0.013712145,0.078279308772765,0.002312640015656586,0.060000000000000005,10000.0,best_test_loss
20,if,0.013712145,0.078279308772765,0.002312640015656586,0.060000000000000005,10000.0,best_train_loss
21,if,0.017142044,0.16019795071563825,0.009685632445872753,0.06999999999999999,10000.0,full_epochs
22,if,0.018795539,0.17022828466915035,0.010936478857641086,0.06999999999999999,5000.0,best_test_loss
23,if,0.018338056,0.159572116255082,0.009610103860091911,0.06999999999999999,6000.0,best_train_loss
24,if,0.018945392,0.18736123720721942,0.013248709052385512,0.08,10000.0,full_epochs
25,if,0.018945392,0.18736123720721942,0.013248709052385512,0.08,10000.0,best_test_loss
26,if,0.019116897,0.1670365689991316,0.010530213909785225,0.08,6000.0,best_train_loss
27,if,0.016952295,0.20128675472308852,0.015291302074141856,0.09,10000.0,full_epochs
28,if,0.016952295,0.20128675472308852,0.015291302074141856,0.09,10000.0,best_test_loss
29,if,0.016952295,0.20128675472308852,0.015291302074141856,0.09,10000.0,best_train_loss
30,if,0.01464445,0.08832877170888678,0.002944546752516863,0.09999999999999999,10000.0,full_epochs
31,if,0.01464445,0.08832877170888678,0.002944546752516863,0.09999999999999999,10000.0,best_test_loss
32,if,0.01464445,0.08832877170888678,0.002944546752516863,0.09999999999999999,10000.0,best_train_loss
33,if,0.014748715,0.09049041248036285,0.0030904321100859848,0.1,10000.0,full_epochs
34,if,0.015063908,0.0948196955719409,0.0033932134917012097,0.1,9000.0,best_test_loss
35,if,0.014748715,0.09049041248036285,0.0030904321100859848,0.1,10000.0,best_train_loss
36,if,0.019172266,0.2668831957528935,0.026881687655008674,0.2,10000.0,full_epochs
37,if,0.021472896,0.2578958648211236,0.025101682323229676,0.2,6000.0,best_test_loss
38,if,0.019172266,0.2668831957528935,0.026881687655008674,0.2,10000.0,best_train_loss
39,if,0.016067788,0.1521582484909266,0.00873785981107949,0.30000000000000004,10000.0,full_epochs
40,if,0.01626225,0.14687792315077844,0.008141925380622046,0.30000000000000004,9000.0,best_test_loss
41,if,0.01626225,0.14687792315077844,0.008141925380622046,0.30000000000000004,9000.0,best_train_loss
42,if,0.016626041,0.14700845086198225,0.008156402969680095,0.4,10000.0,full_epochs
43,if,0.016626041,0.14700845086198225,0.008156402969680095,0.4,10000.0,best_test_loss
44,if,0.016626041,0.14700845086198225,0.008156402969680095,0.4,10000.0,best_train_loss
45,if,0.022213414,0.2600662175496922,0.025525952360073968,0.5,10000.0,full_epochs
46,if,0.021745637,0.25896355686296607,0.025309955103639065,0.5,8000.0,best_test_loss
47,if,0.021745637,0.25896355686296607,0.025309955103639065,0.5,8000.0,best_train_loss
48,if,0.022897081,0.06999148847936693,0.0018488621471891903,0.6,10000.0,full_epochs
49,if,0.022897081,0.06999148847936693,0.0018488621471891903,0.6,10000.0,best_test_loss
50,if,0.022897081,0.06999148847936693,0.0018488621471891903,0.6,10000.0,best_train_loss
51,if,0.019683491,0.1310026856897767,0.006477008549401484,0.7000000000000001,10000.0,full_epochs
52,if,0.019683491,0.1310026856897767,0.006477008549401484,0.7000000000000001,10000.0,best_test_loss
53,if,0.019683491,0.1310026856897767,0.006477008549401484,0.7000000000000001,10000.0,best_train_loss
54,if,0.020784011,0.11395339286413346,0.004900818205206205,0.8,10000.0,full_epochs
55,if,0.020784011,0.11395339286413346,0.004900818205206205,0.8,10000.0,best_test_loss
56,if,0.020784011,0.11395339286413346,0.004900818205206205,0.8,10000.0,best_train_loss
57,if,0.022826722,0.07308879432952274,0.002016116702347096,0.9,10000.0,full_epochs
58,if,0.022826722,0.07308879432952274,0.002016116702347096,0.9,10000.0,best_test_loss
59,if,0.022826722,0.07308879432952274,0.002016116702347096,0.9,10000.0,best_train_loss
60,if,0.02160938,0.1078212201981644,0.004387554828281473,1.0,10000.0,full_epochs
61,if,0.02160938,0.1078212201981644,0.004387554828281473,1.0,10000.0,best_test_loss
62,if,0.02160938,0.1078212201981644,0.004387554828281473,1.0,10000.0,best_train_loss
