,model,mean_residual,l2_relative_error,mse,ratio,epoch,model_version
0,if,0.009875853,0.061167140891245926,0.0014120511658574047,0,49000.0,full_epochs
1,if,0.009875853,0.061167140891245926,0.0014120511658574047,0,10000.0,best_test_loss
2,if,0.009875853,0.061167140891245926,0.0014120511658574047,0,10000.0,best_train_loss
3,if,0.010407536,0.0977359179016713,0.0036051427346814897,0.01,49000.0,full_epochs
4,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.01,0.0,best_test_loss
5,if,0.009186518,0.09739798452036649,0.0035802554282255007,0.01,9000.0,best_train_loss
6,if,0.0100123165,0.18004045219311104,0.012233599594560815,0.02,49000.0,full_epochs
7,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.02,0.0,best_test_loss
8,if,0.0106321685,0.1831081124760656,0.012654041182199358,0.02,7000.0,best_train_loss
9,if,0.013592527,0.2814498262925374,0.02989620354895278,0.03,49000.0,full_epochs
10,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.03,0.0,best_test_loss
11,if,0.01083004,0.18024168559791828,0.0122609621640983,0.03,8000.0,best_train_loss
12,if,0.010452027,0.1885018165927744,0.013410505591571259,0.04,49000.0,full_epochs
13,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.04,0.0,best_test_loss
14,if,0.010452027,0.1885018165927744,0.013410505591571259,0.04,10000.0,best_train_loss
15,if,0.01203677,0.25223429766483435,0.02401166917188044,0.05,49000.0,full_epochs
16,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.05,0.0,best_test_loss
17,if,0.011917231,0.18129266866804386,0.012404365536210165,0.05,5000.0,best_train_loss
18,if,0.011349496,0.1960515109720085,0.01450622667121175,0.06,49000.0,full_epochs
19,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.06,0.0,best_test_loss
20,if,0.010838818,0.1907622386572317,0.01373405848961607,0.06,9000.0,best_train_loss
21,if,0.009780978,0.13541831730767614,0.00692100077463358,0.07,49000.0,full_epochs
22,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.07,0.0,best_test_loss
23,if,0.010096006,0.13529852910864412,0.006908761846358668,0.07,9000.0,best_train_loss
24,if,0.009967038,0.13987563722005145,0.007384111193578509,0.08,49000.0,full_epochs
25,if,0.010652337,0.06592270388016577,0.0016401519926764465,0.08,0.0,best_test_loss
26,if,0.009967038,0.13987563722005145,0.007384111193578509,0.08,10000.0,best_train_loss
27,if,0.010646442,0.11512953054114504,0.005002505091945739,0.09,49000.0,full_epochs
