,model,mean_residual,l2_relative_error,mse,ratio,epoch,model_version
104,if,0.009178841,0.02772649769879384,0.00029013765808592515,0.7000000000000001,9000.0,best_train_loss
105,random,0.007723023,0.027590026339307693,0.0002872885398532297,0.7000000000000001,49000.0,full_epochs
106,random,0.007723023,0.027590026339307693,0.0002872885398532297,0.7000000000000001,10000.0,best_test_loss
107,random,0.007723023,0.027590026339307693,0.0002872885398532297,0.7000000000000001,10000.0,best_train_loss
108,if,0.008991498,0.026079162854509806,0.00025668551667622756,0.8,49000.0,full_epochs
109,if,0.008991498,0.026079162854509806,0.00025668551667622756,0.8,10000.0,best_test_loss
110,if,0.008991498,0.026079162854509806,0.00025668551667622756,0.8,10000.0,best_train_loss
111,random,0.0077504944,0.0322337818800143,0.00039213589431519395,0.8,49000.0,full_epochs
112,random,0.0077504944,0.0322337818800143,0.00039213589431519395,0.8,10000.0,best_test_loss
113,random,0.0077504944,0.0322337818800143,0.00039213589431519395,0.8,10000.0,best_train_loss
114,if,0.008910167,0.022861914940283067,0.0001972601145665433,0.9,49000.0,full_epochs
115,if,0.008910167,0.022861914940283067,0.0001972601145665433,0.9,10000.0,best_test_loss
116,if,0.008910167,0.022861914940283067,0.0001972601145665433,0.9,10000.0,best_train_loss
117,random,0.011775835,0.043679757074103,0.0007200696404122949,0.9,49000.0,full_epochs
118,random,0.007888584,0.03834259584942363,0.0005548519231370529,0.9,9000.0,best_test_loss
119,random,0.007888584,0.03834259584942363,0.0005548519231370529,0.9,9000.0,best_train_loss
120,if,0.008833459,0.016437786313099452,0.0001019766480526722,1.0,49000.0,full_epochs
121,if,0.008833459,0.016437786313099452,0.0001019766480526722,1.0,10000.0,best_test_loss
122,if,0.008833459,0.016437786313099452,0.0001019766480526722,1.0,10000.0,best_train_loss
